book_name,book_url,book_author,book_author_url,book_publish_info,book_ID
The social media manifesto / Jed Hallam.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3292759&fromLocationLink=false&theme=WEB,"Hallam, Jed","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Hallam,+Jed++&theme=WEB","Houndmills, Basingstoke, Hampshire : Palgrave Macmillan, 2013.",3292759
"Brilliant social media : how to start, refine and improve your social media business strategy / Adam Gray.",https://webcat.hkpl.gov.hk/lib/item?id=chamo:3309610&fromLocationLink=false&theme=WEB,"Gray, Adam","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Gray,+Adam++&theme=WEB","Harlow, England : Pearson, c2013.",3309610
Manager's guide to social media / Scott Klososky.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3145582&fromLocationLink=false&theme=WEB,"Klososky, Scott","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Klososky,+Scott++&theme=WEB","New York : McGraw-Hill, c2011.",3145582
Social media metrics for dummies / by Leslie Poston.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3220570&fromLocationLink=false&theme=WEB,"Poston, Leslie","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Poston,+Leslie++&theme=WEB","Hoboken, N.J. : Wiley, c2012.",3220570
Social media is bullshit / B. J. Mendelson.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3253089&fromLocationLink=false&theme=WEB,"Mendelson, B. J","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Mendelson,+B.+J++&theme=WEB","New York : St. Martin's Press, 2012.",3253089
"Social media marketing / Tracy Tuten, Michael Solomon.",https://webcat.hkpl.gov.hk/lib/item?id=chamo:3356017&fromLocationLink=false&theme=WEB,"Tuten, Tracy L., 1967-","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Tuten,+Tracy+L.,+1967-++&theme=WEB","Harlow : Pearson Education, c2014.",3356017
My social media for seniors / Michael Miller.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3457380&fromLocationLink=false&theme=WEB,"Miller, Michael, 1958-","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Miller,+Michael,+1958-++&theme=WEB","Indianapolis, IN : Que, c2016.",3457380
Social media : a critical introduction / Christian Fuchs.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3465426&fromLocationLink=false&theme=WEB,"Fuchs, Christian, 1976-","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Fuchs,+Christian,+1976-++&theme=WEB","London : SAGE Publications Ltd., 2017",3465426
My social media for seniors / Michael Miller.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3482188&fromLocationLink=false&theme=WEB,"Miller, Michael, 1958-","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Miller,+Michael,+1958-++&theme=WEB","Indianapolis, Indiana : Que, ©2018.",3482188
Social media marketing : theories & applications / Stephan Dahl.,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3516758&fromLocationLink=false&theme=WEB,"Dahl, Stephan","https://webcat.hkpl.gov.hk/search/query?match_1=PHRASE&field_1=a&term_1=Dahl,+Stephan++&theme=WEB","London : SAGE Publications Ltd, 2018.",3516758
